日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-04-12,'600025,华能水电,3.75,3.8,3.68,3.7,3.69,0.06,1.626,4.1981,75565565,283195212.0,67500000000.0,6750000000.0
2018-04-11,'600025,华能水电,3.69,3.73,3.68,3.72,3.74,-0.05,-1.3369,3.0196,54353092,201147215.0,66420000000.0,6642000000.0
2018-04-10,'600025,华能水电,3.74,3.8,3.58,3.61,3.6,0.14,3.8889,5.4352,97834436,363314681.0,67320000000.0,6732000000.0
2018-04-09,'600025,华能水电,3.6,3.62,3.56,3.6,3.63,-0.03,-0.8264,2.0698,37256634,133809691.0,64800000000.0,6480000000.0
2018-04-04,'600025,华能水电,3.63,3.69,3.62,3.68,3.65,-0.02,-0.5479,2.0595,37071150,135321254.0,65340000000.0,6534000000.0
2018-04-03,'600025,华能水电,3.65,3.68,3.62,3.67,3.74,-0.09,-2.4064,2.7997,50395253,183652124.0,65700000000.0,6570000000.0
2018-04-02,'600025,华能水电,3.74,3.78,3.72,3.77,3.78,-0.04,-1.0582,2.77,49859404,186961465.0,67320000000.0,6732000000.0
2018-03-30,'600025,华能水电,3.78,3.82,3.77,3.82,3.8,-0.02,-0.5263,2.2225,40004391,151595800.0,68040000000.0,6804000000.0
2018-03-29,'600025,华能水电,3.8,3.82,3.76,3.79,3.77,0.03,0.7958,2.4069,43324734,164187580.0,68400000000.0,6840000000.0
2018-03-28,'600025,华能水电,3.77,3.85,3.71,3.75,3.81,-0.04,-1.0499,2.6682,48026964,181821076.0,67860000000.0,6786000000.0
2018-03-27,'600025,华能水电,3.81,3.87,3.77,3.78,3.74,0.07,1.8717,3.7842,68115476,260126353.0,68580000000.0,6858000000.0
2018-03-26,'600025,华能水电,3.74,3.76,3.53,3.68,3.76,-0.02,-0.5319,3.6656,65981259,241150473.0,67320000000.0,6732000000.0
2018-03-23,'600025,华能水电,3.76,3.95,3.71,3.95,4.05,-0.29,-7.1605,6.16,110879710,425767643.0,67680000000.0,6768000000.0
2018-03-22,'600025,华能水电,4.05,4.09,4.04,4.08,4.11,-0.06,-1.4599,3.3369,60064180,244004135.0,72900000000.0,7290000000.0
2018-03-21,'600025,华能水电,4.11,4.2,4.06,4.1,4.1,0.01,0.2439,5.1268,92283157,379574607.0,73980000000.0,7398000000.0
2018-03-20,'600025,华能水电,4.1,4.11,4.02,4.04,4.09,0.01,0.2445,2.9582,53246799,216758648.0,73800000000.0,7380000000.0
2018-03-19,'600025,华能水电,4.09,4.12,4.05,4.11,4.11,-0.02,-0.4866,2.971,53478064,218182811.0,73620000000.0,7362000000.0
2018-03-16,'600025,华能水电,4.11,4.18,4.1,4.15,4.17,-0.06,-1.4388,3.1316,56368257,233338350.0,73980000000.0,7398000000.0
2018-03-15,'600025,华能水电,4.17,4.22,4.12,4.18,4.2,-0.03,-0.7143,4.2384,76290678,317442262.0,75060000000.0,7506000000.0
2018-03-14,'600025,华能水电,4.2,4.27,4.2,4.21,4.23,-0.03,-0.7092,3.1834,57301328,241808921.0,75600000000.0,7560000000.0
2018-03-13,'600025,华能水电,4.23,4.28,4.21,4.27,4.28,-0.05,-1.1682,3.9917,71851206,304777057.0,76140000000.0,7614000000.0
2018-03-12,'600025,华能水电,4.28,4.32,4.26,4.29,4.28,0.0,0.0,4.6552,83792716,358619585.0,77040000000.0,7704000000.0
2018-03-09,'600025,华能水电,4.28,4.29,4.23,4.25,4.27,0.01,0.2342,4.7194,84949818,362186090.0,77040000000.0,7704000000.0
